include,id,observed_on_string,observed_on,time_observed_at,date,time,tz,time_zone,user_id,user_login,
,42271915,Wed Apr 15 2020 14:35:16 GMT-0700 (PDT),2020-04-15,2020-04-15 21:35:16 UTC,2020-04-15,9:35:16 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42351313,Thu Apr 16 2020 15:52:02 GMT-0700 (PDT),2020-04-16,2020-04-16 22:52:02 UTC,2020-04-16,10:52:02 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42351446,Thu Apr 16 2020 15:52:50 GMT-0700 (PDT),2020-04-16,2020-04-16 22:52:50 UTC,2020-04-16,10:52:50 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42351693,Thu Apr 16 2020 15:55:29 GMT-0700 (PDT),2020-04-16,2020-04-16 22:55:29 UTC,2020-04-16,10:55:29 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42351817,Thu Apr 16 2020 15:57:30 GMT-0700 (PDT),2020-04-16,2020-04-16 22:57:30 UTC,2020-04-16,10:57:30 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42351897,Thu Apr 16 2020 15:59:10 GMT-0700 (PDT),2020-04-16,2020-04-16 22:59:10 UTC,2020-04-16,10:59:10 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352074,Thu Apr 16 2020 16:00:15 GMT-0700 (PDT),2020-04-16,2020-04-16 23:00:15 UTC,2020-04-16,11:00:15 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352129,Thu Apr 16 2020 16:01:40 GMT-0700 (PDT),2020-04-16,2020-04-16 23:01:40 UTC,2020-04-16,11:01:40 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352259,Thu Apr 16 2020 16:03:19 GMT-0700 (PDT),2020-04-16,2020-04-16 23:03:19 UTC,2020-04-16,11:03:19 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352281,Thu Apr 16 2020 16:05:27 GMT-0700 (PDT),2020-04-16,2020-04-16 23:05:27 UTC,2020-04-16,11:05:27 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352404,Thu Apr 16 2020 16:06:25 GMT-0700 (PDT),2020-04-16,2020-04-16 23:06:25 UTC,2020-04-16,11:06:25 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352502,Thu Apr 16 2020 16:06:57 GMT-0700 (PDT),2020-04-16,2020-04-16 23:06:57 UTC,2020-04-16,11:06:57 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352581,Thu Apr 16 2020 16:08:17 GMT-0700 (PDT),2020-04-16,2020-04-16 23:08:17 UTC,2020-04-16,11:08:17 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352671,Thu Apr 16 2020 16:09:35 GMT-0700 (PDT),2020-04-16,2020-04-16 23:09:35 UTC,2020-04-16,11:09:35 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352717,Thu Apr 16 2020 16:10:38 GMT-0700 (PDT),2020-04-16,2020-04-16 23:10:38 UTC,2020-04-16,11:10:38 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352784,Thu Apr 16 2020 16:11:55 GMT-0700 (PDT),2020-04-16,2020-04-16 23:11:55 UTC,2020-04-16,11:11:55 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352832,Thu Apr 16 2020 16:13:06 GMT-0700 (PDT),2020-04-16,2020-04-16 23:13:06 UTC,2020-04-16,11:13:06 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352871,Thu Apr 16 2020 16:14:23 GMT-0700 (PDT),2020-04-16,2020-04-16 23:14:23 UTC,2020-04-16,11:14:23 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42352928,Thu Apr 16 2020 16:15:27 GMT-0700 (PDT),2020-04-16,2020-04-16 23:15:27 UTC,2020-04-16,11:15:27 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42353011,Thu Apr 16 2020 16:17:41 GMT-0700 (PDT),2020-04-16,2020-04-16 23:17:41 UTC,2020-04-16,11:17:41 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42353330,Thu Apr 16 2020 16:21:31 GMT-0700 (PDT),2020-04-16,2020-04-16 23:21:31 UTC,2020-04-16,11:21:31 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42353414,Thu Apr 16 2020 16:22:35 GMT-0700 (PDT),2020-04-16,2020-04-16 23:22:35 UTC,2020-04-16,11:22:35 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42353456,Thu Apr 16 2020 16:24:04 GMT-0700 (PDT),2020-04-16,2020-04-16 23:24:04 UTC,2020-04-16,11:24:04 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,42353637,Thu Apr 16 2020 16:25:56 GMT-0700 (PDT),2020-04-16,2020-04-16 23:25:56 UTC,2020-04-16,11:25:56 PM,UTC,Pacific Time (US & Canada),428664,sraskin,
,39515420,Tue Mar 03 2020 16:22:04 GMT-0800 (PST),2020-03-03,2020-03-04 00:22:04 UTC,2020-03-04,12:22:04 AM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,39515509,Tue Mar 03 2020 16:25:17 GMT-0800 (PST),2020-03-03,2020-03-04 00:25:17 UTC,2020-03-04,12:25:17 AM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,39515587,Tue Mar 03 2020 16:53:48 GMT-0800 (PST),2020-03-03,2020-03-04 00:53:48 UTC,2020-03-04,12:53:48 AM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,39515611,Tue Mar 03 2020 16:59:33 GMT-0800 (PST),2020-03-03,2020-03-04 00:59:33 UTC,2020-03-04,12:59:33 AM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,39515636,Tue Mar 03 2020 17:01:23 GMT-0800 (PST),2020-03-03,2020-03-04 01:01:23 UTC,2020-03-04,1:01:23 AM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419718,Sat Apr 04 2020 08:35:46 GMT-0700 (PDT),2020-04-04,2020-04-04 15:35:46 UTC,2020-04-04,3:35:46 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419689,Sat Apr 04 2020 08:51:25 GMT-0700 (PDT),2020-04-04,2020-04-04 15:51:25 UTC,2020-04-04,3:51:25 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419638,Sat Apr 04 2020 08:55:24 GMT-0700 (PDT),2020-04-04,2020-04-04 15:55:24 UTC,2020-04-04,3:55:24 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419613,Sat Apr 04 2020 08:58:14 GMT-0700 (PDT),2020-04-04,2020-04-04 15:58:14 UTC,2020-04-04,3:58:14 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419593,Sat Apr 04 2020 08:58:32 GMT-0700 (PDT),2020-04-04,2020-04-04 15:58:32 UTC,2020-04-04,3:58:32 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419563,Sat Apr 04 2020 09:10:19 GMT-0700 (PDT),2020-04-04,2020-04-04 16:10:19 UTC,2020-04-04,4:10:19 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419518,Sat Apr 04 2020 09:25:34 GMT-0700 (PDT),2020-04-04,2020-04-04 16:25:34 UTC,2020-04-04,4:25:34 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419475,Sat Apr 04 2020 09:29:31 GMT-0700 (PDT),2020-04-04,2020-04-04 16:29:31 UTC,2020-04-04,4:29:31 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419421,Sat Apr 04 2020 09:31:52 GMT-0700 (PDT),2020-04-04,2020-04-04 16:31:52 UTC,2020-04-04,4:31:52 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419389,Sat Apr 04 2020 09:38:40 GMT-0700 (PDT),2020-04-04,2020-04-04 16:38:40 UTC,2020-04-04,4:38:40 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419334,Sat Apr 04 2020 09:41:19 GMT-0700 (PDT),2020-04-04,2020-04-04 16:41:19 UTC,2020-04-04,4:41:19 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419307,Sat Apr 04 2020 09:55:06 GMT-0700 (PDT),2020-04-04,2020-04-04 16:55:06 UTC,2020-04-04,4:55:06 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419286,Sat Apr 04 2020 09:55:26 GMT-0700 (PDT),2020-04-04,2020-04-04 16:55:26 UTC,2020-04-04,4:55:26 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419257,Sat Apr 04 2020 10:00:54 GMT-0700 (PDT),2020-04-04,2020-04-04 17:00:54 UTC,2020-04-04,5:00:54 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419163,Sat Apr 04 2020 10:03:06 GMT-0700 (PDT),2020-04-04,2020-04-04 17:03:06 UTC,2020-04-04,5:03:06 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419119,Sat Apr 04 2020 10:06:24 GMT-0700 (PDT),2020-04-04,2020-04-04 17:06:24 UTC,2020-04-04,5:06:24 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
,41419102,Sat Apr 04 2020 10:19:59 GMT-0700 (PDT),2020-04-04,2020-04-04 17:19:59 UTC,2020-04-04,5:19:59 PM,UTC,Pacific Time (US & Canada),429191,ezeemonee,
